suite,family,init_ms,init_sd,respond_ms,respond_sd,total_ms,init_bytes,respond_bytes,max_msg_bytes,fits_1280_mtu
ml-kem-512,MlKem,0.670752,0.329274,1.308620,0.646100,1.979372,1110,1018,1110,yes
ml-kem-768,MlKem,0.768433,0.423114,1.432321,0.757767,2.200754,1494,1338,1494,no(fragments)
ml-kem-1024,MlKem,0.832774,0.480606,1.548584,0.851017,2.381358,1878,1818,1878,no(fragments)
kyber-512,Kyber,0.789570,0.450479,1.485414,0.823494,2.274984,1110,1018,1110,yes
hqc-128,Hqc,2.585852,1.449611,3.446734,0.872726,6.032586,2559,4683,4683,no(fragments)
frodo-640-aes,FrodoKem,0.870469,0.285091,1.494954,0.456637,2.365423,9926,9970,9970,no(fragments)
